#t	CM_X	CM_Y	0_X	0_Y	0_P	1_X	1_Y	1_P	2_X	2_Y	2_P	3_X	3_Y	3_P	4_X	4_Y	4_P	5_X	5_Y	5_P	6_X	6_Y	6_P	7_X	7_Y	7_P	8_X	8_Y	8_P	9_X	9_Y	9_P	10_X	10_Y	10_P	11_X	11_Y	11_P	12_X	12_Y	12_P	13_X	13_Y	13_P	z_plane
20.22	7515.48	202.81	7418.35	231.02	0.23	7441.41	204.39	0.66	7472.34	218.09	0.67	7502.79	299.47	0.53	7512.03	373.57	0.68	7438.37	220.14	0.55	7464.09	280.51	0.69	7474.07	355.78	0.62	7587.00	127.68	0.62	7557.47	253.71	0.59	7550.71	365.13	0.53	7585.64	127.16	0.69	7509.55	241.00	0.23	7535.48	365.63	0.32	0.00
20.24	7517.91	201.08	7420.14	229.50	0.21	7440.76	205.02	0.65	7471.92	217.49	0.66	7501.96	299.07	0.54	7511.39	372.35	0.68	7438.04	220.50	0.57	7462.68	280.64	0.69	7473.28	354.91	0.61	7587.43	128.44	0.62	7556.95	253.21	0.57	7550.52	364.91	0.56	7585.53	127.69	0.69	7508.74	241.43	0.23	7634.40	291.17	0.40	0.00
20.26	7517.70	201.15	7417.91	230.75	0.21	7440.68	204.69	0.66	7471.95	218.05	0.67	7502.72	299.39	0.53	7512.02	373.64	0.68	7437.81	220.11	0.55	7463.94	280.32	0.69	7474.27	355.60	0.64	7586.40	128.39	0.63	7557.78	253.54	0.58	7550.61	364.77	0.56	7584.89	127.84	0.70	7509.33	241.16	0.23	7636.53	292.45	0.49	0.00
20.28	7518.38	200.74	7422.45	228.97	0.31	7441.73	203.54	0.66	7471.89	217.05	0.68	7501.39	298.51	0.56	7512.00	373.27	0.70	7437.12	220.86	0.63	7462.39	285.62	0.69	7473.08	353.12	0.60	7587.66	128.91	0.58	7555.99	252.52	0.56	7549.93	364.07	0.63	7585.63	127.64	0.68	7508.99	240.91	0.27	7638.23	292.61	0.53	0.00
20.30	7516.15	202.15	7410.52	237.25	0.23	7439.04	205.58	0.67	7470.53	217.51	0.65	7501.39	298.19	0.56	7511.89	373.24	0.71	7437.08	221.44	0.60	7462.60	286.31	0.69	7472.81	353.10	0.61	7585.51	129.26	0.60	7556.93	253.10	0.57	7549.99	364.08	0.62	7583.44	128.46	0.68	7508.83	241.36	0.30	7637.49	292.55	0.47	0.00
20.32	7517.26	202.15	7412.96	237.17	0.24	7441.43	205.31	0.67	7470.94	216.81	0.67	7501.22	297.44	0.57	7511.92	372.94	0.71	7437.50	221.06	0.63	7462.40	286.28	0.69	7473.43	352.82	0.60	7586.70	129.90	0.60	7556.09	252.69	0.59	7550.13	364.08	0.61	7584.66	128.58	0.69	7508.63	241.63	0.28	7636.73	292.35	0.43	0.00
20.34	7517.83	203.01	7419.30	236.05	0.38	7442.67	203.75	0.70	7470.56	216.75	0.68	7500.02	297.88	0.54	7512.10	373.17	0.66	7437.15	219.87	0.69	7462.05	286.75	0.74	7473.70	349.53	0.58	7586.70	134.09	0.70	7553.90	252.34	0.51	7549.45	363.89	0.74	7584.33	133.35	0.73	7509.72	239.58	0.26	7638.04	292.85	0.53	0.00
20.36	7520.68	202.21	7421.87	234.65	0.44	7445.01	202.12	0.70	7472.83	216.87	0.69	7501.11	297.95	0.57	7513.49	373.09	0.67	7437.87	219.31	0.70	7462.73	285.90	0.74	7474.15	350.89	0.59	7588.86	133.83	0.68	7552.10	252.04	0.46	7549.45	363.82	0.73	7586.39	133.12	0.72	7524.90	237.71	0.26	7639.64	293.27	0.57	0.00
20.38	7522.89	200.61	7423.48	234.18	0.43	7447.59	201.54	0.71	7474.89	216.01	0.72	7503.59	298.61	0.57	7515.34	371.82	0.70	7440.52	218.81	0.67	7464.04	284.14	0.74	7475.06	350.23	0.58	7591.13	130.31	0.66	7555.50	251.06	0.40	7550.25	361.85	0.70	7588.75	129.85	0.71	7527.14	237.72	0.32	7637.03	292.45	0.48	0.00
20.40	7518.13	199.01	7422.29	233.24	0.47	7446.55	202.76	0.73	7473.68	216.34	0.69	7503.80	297.70	0.59	7515.69	371.20	0.73	7439.53	219.45	0.70	7464.02	284.55	0.75	7475.44	348.00	0.66	7590.98	129.52	0.64	7508.75	233.01	0.41	7550.45	361.78	0.74	7588.18	129.94	0.68	7523.39	236.05	0.24	7643.04	293.09	0.62	0.00
